ลำดับ,ชื่อเมนูอาหาร,สถานะการซ้ำ,จำนวนแพ็กเกจที่พบ,ราคาแพ็กเกจที่พบ,ลำดับจานที่พบ,แท็กพิเศษ,สถานะรูปภาพ,ลิงก์รูป
1,"วุ้นมะพร้าว","ซ้ำกัน (12 ราคา)",12,"1,400.-, 1,700.-, 1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-, 4,000.-, 5,000.-, 6,000.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","หวานเย็นชื่นใจ","มีรูปภาพ","/images/dishes/desserts/dessert-woon-maprao.jpg"
2,"ข้าวผัดปู","ซ้ำกัน (11 ราคา)",11,"1,400.-, 1,500.-, 1,700.-, 1,800.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-, 4,000.-, 6,000.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","ปูเน้นๆ","มีรูปภาพ","/images/dishes/rice/fried-rice-lump-crab-red-platter.jpg"
3,"ข้าวผัดฮ่องกง","ซ้ำกัน (7 ราคา)",7,"1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","หอมกรุ่น","มีรูปภาพ","/images/dishes/rice/fried-rice-hongkong-red-platter.jpg"
4,"ข้าวห่อใบบัว","ซ้ำกัน (7 ราคา)",7,"1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","หอมกรุ่น","มีรูปภาพ","/images/dishes/rice/fried-rice-combination-red-platter.jpg"
5,"ข้าวเหนียวเผือก","ซ้ำกัน (7 ราคา)",7,"1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/desserts/dessert-ohnee-ginkgo-coconut-wood.jpg"
6,"ผัดหมี่ฮ่องกง","ซ้ำกัน (7 ราคา)",7,"1,700.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
7,"รวมมิตรไทย","ซ้ำกัน (7 ราคา)",7,"1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/desserts/dessert-ruam-mit-wood.jpg"
8,"ปลากะพงนึ่งมะนาว","ซ้ำกัน (6 ราคา)",6,"2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ปลากะพงสด","ไม่มีรูป",""
9,"เป็ดสับย่าง","ซ้ำกัน (6 ราคา)",6,"1,500.-, 1,700.-, 1,800.-, 2,000.-, 2,200.-, 2,500.-","จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ขาหมู (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง)","สูตรฮ่องกง","มีรูปภาพ","/images/dishes/ducks/ped-sap-yang-orchid-2026.jpg"
10,"ฟรุตสลัดนมสด","ซ้ำกัน (6 ราคา)",6,"1,400.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","หวานหอม","มีรูปภาพ","/images/dishes/desserts/dessert-fruitsalad-fresh-milk.jpg"
