ลำดับ,ชื่อเมนูอาหารที่ซ้ำ,จำนวนราคาที่ซ้ำ,ช่วงราคาต่ำสุด-สูงสุด,รายชื่อแพ็กเกจราคา,ลำดับจาน,สถานะรูป
1,"วุ้นมะพร้าว",12,"1,400 - 6,000 บาท","1,400.-, 1,700.-, 1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-, 4,000.-, 5,000.-, 6,000.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","มีรูปภาพ"
2,"ข้าวผัดปู",11,"1,400 - 6,000 บาท","1,400.-, 1,500.-, 1,700.-, 1,800.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-, 4,000.-, 6,000.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
3,"ข้าวผัดฮ่องกง",7,"1,800 - 3,500 บาท","1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
4,"ข้าวห่อใบบัว",7,"1,800 - 3,500 บาท","1,800.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
5,"ข้าวเหนียวเผือก",7,"1,400 - 3,500 บาท","1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","มีรูปภาพ"
6,"ผัดหมี่ฮ่องกง",7,"1,700 - 3,500 บาท","1,700.-, 2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
7,"รวมมิตรไทย",7,"1,400 - 3,500 บาท","1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","มีรูปภาพ"
8,"ปลากะพงนึ่งมะนาว",6,"2,000 - 3,500 บาท","2,000.-, 2,200.-, 2,300.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
9,"เป็ดสับย่าง",6,"1,500 - 2,500 บาท","1,500.-, 1,700.-, 1,800.-, 2,000.-, 2,200.-, 2,500.-","จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ขาหมู (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง)","มีรูปภาพ"
10,"ฟรุตสลัดนมสด",6,"1,400 - 3,500 บาท","1,400.-, 1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","มีรูปภาพ"
11,"กระดูกหมูตุ๋นเห็ดหอมเยื่อไผ่",5,"1,400 - 2,500 บาท","1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
12,"กุ้งทอดราดซอสมะขาม",5,"3,000 - 6,000 บาท","3,000.-, 3,500.-, 4,000.-, 5,000.-, 6,000.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
13,"เต้าทึงเย็น",5,"1,800 - 3,500 บาท","1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","มีรูปภาพ"
14,"ปลากะพงทอดสมุนไพร",5,"2,000 - 3,500 บาท","2,000.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
15,"ปลากะพงสามรส",5,"2,000 - 3,500 บาท","2,000.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
